Commodity,Year,Attribute,Value,Notes
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2003,"U.S. population, January 1 of following year-Millions",289.517581,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2004,"U.S. population, January 1 of following year-Millions",292.19189,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2005,"U.S. population, January 1 of following year-Millions",294.914085,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2006,"U.S. population, January 1 of following year-Millions",297.646557,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2007,"U.S. population, January 1 of following year-Millions",300.574481,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2008,"U.S. population, January 1 of following year-Millions",303.506469,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2009,"U.S. population, January 1 of following year-Millions",306.207719,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2010,"U.S. population, January 1 of following year-Millions",308.833264,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2011,"U.S. population, January 1 of following year-Millions",310.946962,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2012,"U.S. population, January 1 of following year-Millions",313.149997,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2013,"U.S. population, January 1 of following year-Millions",315.335976,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2014,"U.S. population, January 1 of following year-Millions",317.519206,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2015,"U.S. population, January 1 of following year-Millions",319.83219,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2016,"U.S. population, January 1 of following year-Millions",322.114094,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2017,"U.S. population, January 1 of following year-Millions",324.296746,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2018,"U.S. population, January 1 of following year-Millions",326.163263,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1967,Peanuts-Snack peanuts-Pounds,1.176315896,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1968,Peanuts-Snack peanuts-Pounds,1.201153107,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1969,Peanuts-Snack peanuts-Pounds,1.193992863,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1970,Peanuts-Snack peanuts-Pounds,1.171455342,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1971,Peanuts-Snack peanuts-Pounds,1.170652795,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1972,Peanuts-Snack peanuts-Pounds,1.217708468,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1973,Peanuts-Snack peanuts-Pounds,1.347489158,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1974,Peanuts-Snack peanuts-Pounds,1.306990025,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1975,Peanuts-Snack peanuts-Pounds,1.40324104,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1976,Peanuts-Snack peanuts-Pounds,1.169073447,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1977,Peanuts-Snack peanuts-Pounds,1.251032261,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1978,Peanuts-Snack peanuts-Pounds,1.316615269,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1979,Peanuts-Snack peanuts-Pounds,1.272525853,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1980,Peanuts-Snack peanuts-Pounds,0.907432513,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1981,Peanuts-Snack peanuts-Pounds,1.214106938,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1982,Peanuts-Snack peanuts-Pounds,1.332942546,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1983,Peanuts-Snack peanuts-Pounds,1.294224291,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1984,Peanuts-Snack peanuts-Pounds,1.312959619,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1985,Peanuts-Snack peanuts-Pounds,1.50985817,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1986,Peanuts-Snack peanuts-Pounds,1.603610446,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1987,Peanuts-Snack peanuts-Pounds,1.545896337,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1988,Peanuts-Snack peanuts-Pounds,1.563568475,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1989,Peanuts-Snack peanuts-Pounds,1.595340016,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1990,Peanuts-Snack peanuts-Pounds,1.428695523,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1991,Peanuts-Snack peanuts-Pounds,1.374657091,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1992,Peanuts-Snack peanuts-Pounds,1.382271349,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1993,Peanuts-Snack peanuts-Pounds,1.348648325,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1994,Peanuts-Snack peanuts-Pounds,1.151302502,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1995,Peanuts-Snack peanuts-Pounds,1.045445285,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1996,Peanuts-Snack peanuts-Pounds,1.081860593,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1997,Peanuts-Snack peanuts-Pounds,1.13099941,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1998,Peanuts-Snack peanuts-Pounds,1.273754124,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1999,Peanuts-Snack peanuts-Pounds,1.418773174,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2000,Peanuts-Snack peanuts-Pounds,1.286643699,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2001,Peanuts-Snack peanuts-Pounds,1.271187267,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2002,Peanuts-Snack peanuts-Pounds,1.202677689,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2003,Peanuts-Snack peanuts-Pounds,1.431995938,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2004,Peanuts-Snack peanuts-Pounds,1.54282174,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2005,Peanuts-Snack peanuts-Pounds,1.540448636,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2006,Peanuts-Snack peanuts-Pounds,1.394607094,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2007,Peanuts-Snack peanuts-Pounds,1.414624417,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2008,Peanuts-Snack peanuts-Pounds,1.210774852,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2009,Peanuts-Snack peanuts-Pounds,1.152691386,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2010,Peanuts-Snack peanuts-Pounds,1.279580428,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2011,Peanuts-Snack peanuts-Pounds,1.254451877,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2012,Peanuts-Snack peanuts-Pounds,1.278713089,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2013,Peanuts-Snack peanuts-Pounds,1.362978007,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2014,Peanuts-Snack peanuts-Pounds,1.349452228,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2015,Peanuts-Snack peanuts-Pounds,1.581116647,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2016,Peanuts-Snack peanuts-Pounds,1.460016835,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2017,Peanuts-Snack peanuts-Pounds,1.618409702,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2018,Peanuts-Snack peanuts-Pounds,1.433870865,
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1967,Peanuts-Cleaned in shell-Pounds,0.353066715,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1968,Peanuts-Cleaned in shell-Pounds,0.391155509,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1969,Peanuts-Cleaned in shell-Pounds,0.389442902,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1970,Peanuts-Cleaned in shell-Pounds,0.420742805,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1971,Peanuts-Cleaned in shell-Pounds,0.297119138,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1972,Peanuts-Cleaned in shell-Pounds,0.407530263,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1973,Peanuts-Cleaned in shell-Pounds,0.30667583,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1974,Peanuts-Cleaned in shell-Pounds,0.395027521,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1975,Peanuts-Cleaned in shell-Pounds,0.419432283,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1976,Peanuts-Cleaned in shell-Pounds,0.482585965,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1977,Peanuts-Cleaned in shell-Pounds,0.434717742,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1978,Peanuts-Cleaned in shell-Pounds,0.39638879,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1979,Peanuts-Cleaned in shell-Pounds,0.460308668,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1980,Peanuts-Cleaned in shell-Pounds,0.399317069,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1981,Peanuts-Cleaned in shell-Pounds,0.659275899,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1982,Peanuts-Cleaned in shell-Pounds,0.671452552,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1983,Peanuts-Cleaned in shell-Pounds,0.55745566,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1984,Peanuts-Cleaned in shell-Pounds,0.677031031,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1985,Peanuts-Cleaned in shell-Pounds,0.743198949,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1986,Peanuts-Cleaned in shell-Pounds,0.674738929,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1987,Peanuts-Cleaned in shell-Pounds,0.584135593,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1988,Peanuts-Cleaned in shell-Pounds,0.731575546,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1989,Peanuts-Cleaned in shell-Pounds,0.739172081,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1990,Peanuts-Cleaned in shell-Pounds,0.694392996,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1991,Peanuts-Cleaned in shell-Pounds,0.75690592,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1992,Peanuts-Cleaned in shell-Pounds,0.799483349,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1993,Peanuts-Cleaned in shell-Pounds,0.652508598,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1994,Peanuts-Cleaned in shell-Pounds,0.743870555,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1995,Peanuts-Cleaned in shell-Pounds,0.648492615,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1996,Peanuts-Cleaned in shell-Pounds,0.677301928,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1997,Peanuts-Cleaned in shell-Pounds,0.701345698,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1998,Peanuts-Cleaned in shell-Pounds,0.643440617,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1999,Peanuts-Cleaned in shell-Pounds,0.673819222,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2000,Peanuts-Cleaned in shell-Pounds,0.668274085,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2001,Peanuts-Cleaned in shell-Pounds,0.579988653,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2002,Peanuts-Cleaned in shell-Pounds,0.587624327,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2003,Peanuts-Cleaned in shell-Pounds,0.631051216,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2004,Peanuts-Cleaned in shell-Pounds,0.648810954,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2005,Peanuts-Cleaned in shell-Pounds,0.644234579,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2006,Peanuts-Cleaned in shell-Pounds,0.597454803,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2007,Peanuts-Cleaned in shell-Pounds,0.604607943,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2008,Peanuts-Cleaned in shell-Pounds,0.69265484,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2009,Peanuts-Cleaned in shell-Pounds,0.650644757,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2010,Peanuts-Cleaned in shell-Pounds,0.640105233,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2011,Peanuts-Cleaned in shell-Pounds,0.593606608,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2012,Peanuts-Cleaned in shell-Pounds,0.700632024,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2013,Peanuts-Cleaned in shell-Pounds,0.768622141,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2014,Peanuts-Cleaned in shell-Pounds,0.665392434,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2015,Peanuts-Cleaned in shell-Pounds,0.61175649,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2016,Peanuts-Cleaned in shell-Pounds,0.536082877,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2017,Peanuts-Cleaned in shell-Pounds,0.469322002,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2018,Peanuts-Cleaned in shell-Pounds,0.46364628,"Domestic disappearance of roasting stock, on a shelled-equivalent basis."
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1967,Available in products-Peanut butter-Pounds,2.711190678,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1968,Available in products-Peanut butter-Pounds,2.737127643,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1969,Available in products-Peanut butter-Pounds,2.786478985,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1970,Available in products-Peanut butter-Pounds,2.775093329,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1971,Available in products-Peanut butter-Pounds,2.820803425,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1972,Available in products-Peanut butter-Pounds,2.889664316,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1973,Available in products-Peanut butter-Pounds,3.241462663,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1974,Available in products-Peanut butter-Pounds,3.153119306,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1975,Available in products-Peanut butter-Pounds,3.112626843,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1976,Available in products-Peanut butter-Pounds,2.958151961,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1977,Available in products-Peanut butter-Pounds,2.974737543,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1978,Available in products-Peanut butter-Pounds,3.128993078,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1979,Available in products-Peanut butter-Pounds,3.262510888,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1980,Available in products-Peanut butter-Pounds,2.70537114,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1981,Available in products-Peanut butter-Pounds,2.954389199,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1982,Available in products-Peanut butter-Pounds,3.026228927,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1983,Available in products-Peanut butter-Pounds,2.981754828,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1984,Available in products-Peanut butter-Pounds,3.07316524,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1985,Available in products-Peanut butter-Pounds,3.056883454,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1986,Available in products-Peanut butter-Pounds,2.976285063,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1987,Available in products-Peanut butter-Pounds,3.090543626,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1988,Available in products-Peanut butter-Pounds,3.526098344,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1989,Available in products-Peanut butter-Pounds,3.644315745,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1990,Available in products-Peanut butter-Pounds,2.985550493,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1991,Available in products-Peanut butter-Pounds,3.518879348,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1992,Available in products-Peanut butter-Pounds,3.12643507,Includes peanut butter made by manufacturers for use in cookies and sandwiches but excludes peanut butter used in candy.
